municipio;homologacao;nome_bem_imaterial_registrado;local_ocorrencia_bem_imaterial_registrado;esfera_de_protecao;categoria;exercicio_aceito_para_efeito_de_pontuacao
Alvorada de Minas;Decreto 027/ 2009;Festa de Nossa Senhorado Rosário;Distrito de Itaponhacanga;MUNICIPAL;RI*CEL;2013,0
Dom Joaquim;Decreto nº 064/2011;Festa de São Domingos;Sede municpal de Dom Joaquim;MUNICIPAL;RI*CEL;2013,0
Monte Santo de Minas;Decreto nº 1.604/2016;Carnaval;Não informado;MUNICIPAL;RI*CEL;2018,0
Campestre;Decreto nº116/2018 - Inscrição nº 001/2018;Desfile de Carro de Boi;Não informado;MUNICIPAL;RI*FOR;2020,0
Brazópolis;Decreto nº37/ 2011;Coral Vozes de Euterpe;Rua Silvestre Ferraz 108 - Centro;MUNICIPAL;RI*FOR;2013,0
Brazópolis;Decreto nº 41/2010;Encenação da Sexta-feira Santa;Praça Sagrados Corações 55;MUNICIPAL;RI*CEL;2013,0
Campanha;Decreto nº 5280/2012;Coral Campanhense;Não informado;MUNICIPAL;RI*FOR;2013,0
Campanha;Decreto nº 6409/2016;Terno de Congada de Nossa Senhora do Rosário;Distrito Sede;MUNICIPAL;RI*FOR;2019,0
Caranaíba;Decreto nº 791/2017;Corporação musical Gloriense;Não informado;MUNICIPAL;RI*FOR;2018,0
São Geraldo;Incrição nº 001/2023;Festa Country de São Geraldo;Não informado;MUNICIPAL;RI*FOR;2025,0
Boa Esperança;Incrição nº 002/2023;Corporação Musical Lira Esperancense;Não informado;MUNICIPAL;RI*FOR;2025,0
São Geraldo;Incrição nº 002/2023;Sociedade Musical Filarmônica Scipião Rocha;Não informado;MUNICIPAL;RI*FOR;2025,0
Itabirito;Incrição nº 06/2016;Associação Cultural Coral 'Os Canarinhos de Itabirito';Não informado;MUNICIPAL;RI*FOR;2018,0
Caldas;Inscrição nº 03/2021;Modo de fazer doces tradicionais;Não informado;MUNICIPAL;RI*SAB;2023,0
Tombos;Inscrição nº 01/2018;Bloco Carnavalesco Bonecas do Niterói;Não informado;MUNICIPAL;RI*FOR;2020,0
Tocos do Moji;Inscrição nº 01/2020;Pastel de Farinha de Milho;Não informado;MUNICIPAL;RI*SAB;2022,0
União de Minas;Inscrição nº 01/2021;Festa de Nossa Senhora Aparecida;Não informado;MUNICIPAL;RI*CEL;2023,0
Varginha;Inscrição nº 01/2022;Capoeira de Varginha - Rodas, Grupos e Mestres;Não informado;MUNICIPAL;RI*FOR;2024,0
Uberaba;Inscrição nº 02/2017;Folias de Minas;Não informado;MUNICIPAL;RI*CEL;2019,0
Raposos;Inscrição nº 03/2022;Festa de Nossa Senhora da Conceição;Não informado;MUNICIPAL;RI*CEL;2024,0
Ressaquinha;Inscrição nº 001/ 2014;Quilombo Santo Antônio Morro Grande;Santo Antônio do Morro Grande;MUNICIPAL;RI*LUG;2017,0
Várzea da Palma;Inscrição nº 001/ 2015;Dança de São Gonçalo;Não informado;MUNICIPAL;RI*CEL;2018,0
Vazante;Inscrição nº 001/2021;Comunidade Quilombola dos Bagres;Não informado;MUNICIPAL;RI*LUG;2023,0
Várzea da Palma;Inscrição nº 002/ 2015;Coral Viva a Voz;Não informado;MUNICIPAL;RI*FOR;2018,0
Caxambu;Inscrição nº 002/2021;Coleta das Águas Minerais no Parque das Águas Lysandro Carneiro Guimarães;Não informado;MUNICIPAL;RI*LUG;2023,0
Várzea da Palma;Inscrição nº 003/2016;Banda Municipal de Música José Evangelista;Não informado;MUNICIPAL;RI*FOR;2018,0
Santa Bárbara;Inscrição nº 01/ 2014;Modo de Fazer Bonecas de Palha;Não informado;MUNICIPAL;RI*SAB;2016,0
Santa Cruz de Minas;Inscrição nº 01/ 2015;Corporação Musical São Sebastião;Não informado;MUNICIPAL;RI*FOR;2018,0
Santa Rita do Sapucaí;Inscrição nº 01/ 2015;Banda de Música Lira Santa Rita;Não informado;MUNICIPAL;RI*FOR;2018,0
Resende Costa;Inscrição nº 01/ 2016;Tecelagem Artesanal;Não informado;MUNICIPAL;RI*SAB;2018,0
Serro;Inscrição nº 01/ 2016;Festa de Nossa Senhora do Rosário do Serro;Não informado;MUNICIPAL;RI*CEL;2018,0
Presidente Bernardes;Inscrição nº 01/2015;Corporação Musical Santo Antônio;Não informado;MUNICIPAL;RI*FOR;2018,0
Vespasiano;Inscrição nº 01/2020;Guarda de Caboclo do Divino Espírito Santo;Não informado;MUNICIPAL;RI*FOR;2022,0
Três Pontas;Inscrição nº 01/2020;Orquestra Oswaldo Tiso;Não informado;MUNICIPAL;RI*FOR;2022,0
Jequitibá;Inscrição nº 01/2020;Festival de Folclore;Não informado;MUNICIPAL;RI*CEL;2022,0
Verdelândia;Inscrição nº 01/2021;Modo de Fazer Queijo Artesanal da Serra Geral;Não informado;MUNICIPAL;RI*SAB;2023,0
Conquista;Inscrição nº 01/2021;Festa do Senhor Bom Jesus da Lapa;Não informado;MUNICIPAL;RI*CEL;2023,0
Recreio;Inscrição nº 01/2021;Saberes Tradicionais das Cerâmicas de Recreio;Não informado;MUNICIPAL;RI*SAB;2023,0
Catas Altas;Inscrição nº 01/2022;Festa de Nossa Senhora da Conceição;Não informado;MUNICIPAL;RI*CEL;2024,0
Urucânia;Inscrição nº 01/2022;Modo de Fazer a Goiabada;Não informado;MUNICIPAL;RI*SAB;2024,0
Ubá;Inscrição nº 01/2022;Sociedade Ubaense de Congados Nossa Senhora do Rosário;Não informado;MUNICIPAL;RI*FOR;2024,0
Serra do Salitre;Inscrição nº 02/ 2019;Festa do Café;Não informado;MUNICIPAL;RI*CEL;2022,0
Vespasiano;Inscrição nº 02/2021;Congado;Não informado;MUNICIPAL;RI*FOR;2023,0
Virgínia;Inscrição nº 02/2022;ExpoVirgínia – Exposição Agropecuária de Virgínia;Não informado;MUNICIPAL;RI*FOR;2024,0
Ubaporanga;Inscrição nº 02/2022;Tapete Corpus Christi;Não informado;MUNICIPAL;RI*SAB;2024,0
Uberaba;Inscrição nº 03/2017;As Formas de Expressão dos grupos de Congada, Moçambiques e Afoxés;Não informado;MUNICIPAL;RI*FOR;2019,0
Uberaba;Inscrição nº 05/2018;ILÊ OGUM JÁ;Não informado;MUNICIPAL;RI*FOR;2020,0
Uberaba;Inscrição nº 11/2021;Capoeira;Não informado;MUNICIPAL;RI*FOR;2023,0
Caetanópolis;Inscrição nº001/2018;Banda Euterpe Santa Luzia;Não informado;MUNICIPAL;RI;2020,0
Santa Bárbara;Inscrição nº03 / 2014;Corporação Musical Santo Antônio;Não informado;MUNICIPAL;RI*FOR;2016,0
Dores de Guanhães;Inscrição 002/ 2015;Marujada de Nossa Senhora do Rosário;Comunidade do Pião;MUNICIPAL;RI*CEL;2017,0
Coronel Fabriciano;Inscrição 002/2014;Comemorações Religiosas da Semana Santa;Não informado;MUNICIPAL;RI*CEL;2018,0
Carvalhos;Inscrição 002/2023;Feira de Exposição Bovina e Artesanal de Carvalhos;Não informado;MUNICIPAL;RI*CEL;2025,0
Santo Antônio do Amparo;Inscrição 002/2023;Folia de Reis;Não informado;MUNICIPAL;RI*CEL;2025,0
Carvalhos;Inscrição 003/2023;Festa de Nossa Senhora dos Anjos;Povoado dos Franceses;MUNICIPAL;RI*CEL;2025,0
Carvalhópolis;Inscrição 003/2023;Modo de Fazer Biscoito com Pernil de Carvalhópolis;Não informado;MUNICIPAL;RI*SAB;2025,0
Santo Antônio do Amparo;Inscrição 003/2023;Congados de Nossa Senhora do Rosário;Não informado;MUNICIPAL;RI*CEL;2025,0
Carvalhos;Inscrição 004/2023;Festa de Santo Antônio;Povoado de Carimbá;MUNICIPAL;RI*CEL;2025,0
Santo Antônio do Amparo;Inscrição 004/2023;Lira Musical Ulisses Tomaz;Não informado;MUNICIPAL;RI*FOR;2025,0
Cordisburgo;Inscrição 01/2011;Contadores de estórias Miguilim de Cordisburgo/MG;Área de ocorrência: Museu Casa Guimarães Rosa;MUNICIPAL;RI*FOR;2013,0
Cristais;Inscrição 01/2011;Festa do Rosário / Reinado;"Igreja de Nossa Senhora Do Rosario (Capela do Reinado - levantamento de Mastro); Rua Antônio Campos; Rua Salomão Alane; Pça josé ferreira Filho; Avenida Joaquim de Paula Reis; Pça Joaquim Luíz da Costa Maia; Rua José Luiz da Costa Maia (Residência dos Reis Pertpetuos); retorno pela Rua josé Luiz da Costa Maia; Praçan Joaquim Luiz da Costa Maia; Avenida Joaquim de paula Reis até a Praça José Ferreira Filho; virando para a Rua Jorge Salume; Avenida Francisco de Assis Carvalho; Praça Antônio Custódio dos Reis; até a Rua José Ricardo filho ao salão de festas do Reinado. Segue para a Rua José do Couto Rosa; Pça São Vicente de Paulo; Rua Antônio Campos (Capela do Reinado/ Igeja NossaSenhora do Rosário)";MUNICIPAL;RI*CEL;2013,0
Ribeirão das Neves;Inscrição 01/2014;Festa em honra à Nossa Senhora do Rosário;Não informado;MUNICIPAL;RI*CEL;2018,0
Inimutaba;Inscrição 01/2023;Forró de Inimutaba;Praça Coronel Victor Mascarenhas;MUNICIPAL;RI*CEL;2025,0
São João del Rei;Inscrição 011/18;Grupo de Capoeira Artes das Gerais de São João del Rei;Não informado;MUNICIPAL;RI*FOR;2021,0
Santa Bárbara;Inscrição 02 / 2013;Grupo de Congo Nossa Senhora do Rosário;Não informado;MUNICIPAL;RI*FOR;2016,0
Coronel Fabriciano;Inscrição 02/2014;Associação dos Marujos São José dos Cocais;Não informado;MUNICIPAL;RI*FOR;2016,0
Coronel Fabriciano;Inscrição 02/2015;Festa Religiosa Arraiá do Bastião;Não informado;MUNICIPAL;RI*CEL;2018,0
Monte Azul;Inscrição 02/2020;Modo de Fazer Queijo Artesanal da Serra Geral;Não informado;MUNICIPAL;RI*SAB;2022,0
Uberaba;Inscrição 09/2020;Dança do Catira;Não informado;MUNICIPAL;RI*FOR;2022,0
Desterro do Melo;Inscrição nº 001/2011;Festa de Nossa Senhora do Rosário;Não informado;MUNICIPAL;RI*CEL;2013,0
Funilândia;Inscrição nº 001/2017;Caravana de Reis União Amigos de Funilândia;Não informado;MUNICIPAL;RI*CEL;2019,0
Desterro de Entre Rios;Inscrição nº 001/2018;Festa do Produtor Rural;Não informado;MUNICIPAL;RI;2020,0
Caxambu;Inscrição nº 001/2019;Corporação Musical Sagrado Coração de Jesus;Não informado;MUNICIPAL;RI;2020,0
Gameleiras;Inscrição nº 001/2021;Modo de fazer o queijo artesanal da Serra Geral;Não informado;MUNICIPAL;RI*SAB;2023,0
Jaíba;Inscrição nº 001/2021;Modo de fazer o queijo artesanal da Serra Geral;Não informado;MUNICIPAL;RI*SAB;2023,0
Dionísio;Inscrição nº 001/2022;Grupo de Congado Nossa Senhora do Rosário;Não informado;MUNICIPAL;RI*FOR;2024,0
Pouso Alto;Inscrição nº 002/2020;Ficazzella;Não informado;MUNICIPAL;RI*SAB;2023,0
Gameleiras;Inscrição nº 002/2021;Modo de fazer o requeijão moreno;Não informado;MUNICIPAL;RI*SAB;2023,0
Goianá;Inscrição nº 002/2022;Reza de Maio do Povoado dos Dias;Povoado dos Dias;MUNICIPAL;RI*CEL;2024,0
Juiz de Fora;Inscrição nº 006/ 2010;Pão Alemão;Não informado;MUNICIPAL;RI*SAB;2017,0
Ribeirão das Neves;Inscrição nº 01/ 2016;Corporação Musical Heitor Villa Lobos;Não informado;MUNICIPAL;RI*FOR;2018,0
Joaquim Felício;Inscrição nº 01/2013;Festa de Nossa Senhora das Dores e do Divino Espírito Santo;Não informado;MUNICIPAL;RI*CEL;2016,0
Contagem;Inscrição nº 01/2014;Comunidade dos Arturos;Não informado;MUNICIPAL;RI*LUG;2016,0
Diamantina;Inscrição nº 01/2014;Modo de Fazer o Bolo de Arroz;Não informado;MUNICIPAL;RI*SAB;2016,0
Itaúna;Inscrição nº 01/2016;Reinado de Itaúna;Não informado;MUNICIPAL;RI*CEL;2018,0
Conceição do Mato Dentro;Inscrição nº 01/2019;Modo de Fazer o Pastel de Angu;Não informado;MUNICIPAL;RI*SAB;2021,0
Gonçalves;Inscrição nº 01/2020;Congada de São Benedito;Não informado;MUNICIPAL;RI*FOR;2020,0
Juruaia;Inscrição nº 01/2020;Festa de São Sebastião;Não informado;MUNICIPAL;RI*CEL;2025,0
Ribeirão Vermelho;Inscrição nº 01/2020;Festa de Nossa Senhora do Rosário e São Benedito;Não informado;MUNICIPAL;RI*CEL;2021,0
Gouveia;Inscrição nº 01/2021;Modo de Fazer Cobu;Não informado;MUNICIPAL;RI*SAB;2023,0
Gouveia;Inscrição nº 01/2021;Banda de Música Municipal Santa Cecília;Não informado;MUNICIPAL;RI*FOR;2023,0
Frutal;Inscrição nº 01/2022;Romaria à Água Santa;Não informado;MUNICIPAL;RI*CEL;2024,0
Gouveia;Inscrição nº 01/2022;Cavalgada;Não informado;MUNICIPAL;RI*CEL;2024,0
Formiga;Inscrição nº 01/2022;Feira Livre;Não informado;MUNICIPAL;RI*LUG;2024,0
Fronteira dos Vales;Inscrição nº 01/2023;Boi Janeiro;Não informado;MUNICIPAL;RI*CEL;2025,0
Chácara;Inscrição nº 02/2015;Festa de São Sebastião;Não informado;MUNICIPAL;RI*CEL;2017,0
Rio Doce;Inscrição nº 02/2018;Corporação Musical Santo Antônio;Não informado;MUNICIPAL;RI*FOR;2020,0
Ituiutaba;Inscrição nº 02/2018;Folia de Reis;Não informado;MUNICIPAL;RI*CEL;2020,0
Itueta;Inscrição nº 02/2021;Festa de São João Batista;Não informado;MUNICIPAL;RI*CEL;2023,0
Sabará;Inscrição nº 03/ 2015;Festa de Nossa Senhora do Rosário de Sabará;Não informado;MUNICIPAL;RI*CEL;2017,0
Itinga;Inscrição nº 03/ 2019;Memória e Preservação do Fazer Artesanal em Cerâmica e Madeira Ornamental e Utilitária do Povoado do Pasmado;Não informado;MUNICIPAL;RI*SAB;2021,0
Jaboticatubas;Inscrição nº 03/2021;Festa de Setembro;Não informado;MUNICIPAL;RI*CEL;2023,0
Joaquim Felício;Inscrição nº 04/2021;Coleta das Sempre Vivas;Não informado;MUNICIPAL;RI*SAB;2023,0
Conceição do Mato Dentro;Inscrição nº 08/2022;Modo de Fazer Artesanal de Velas;Comunidade de Cubas;MUNICIPAL;RI*SAB;2024,0
Itaúna;Inscrição nº II/2020;Tapetes de Corpus Christi de Itaúna – Modos de Fazer;Não informado;MUNICIPAL;RI*SAB;2022,0
Itaúna;Inscrição nº III/2022;Festa de Sant’Ana de Itaúna – Modos de Fazer;Não informado;MUNICIPAL;RI;2025,0
Itaúna;Inscrição nº III/2022;Folia de Reis – Modos de Fazer;Não informado;MUNICIPAL;RI;2025,0
Coqueiral;Inscrição nº .01/2022;Banda Municipal Santa Cecília;Não informado;MUNICIPAL;RI*FOR;2024,0
Peçanha;Inscrição nº 0004/2018;Carnaval de Peçanha;Não informado;MUNICIPAL;RI*FOR;2020,0
Senador Firmino;Inscrição nº 001 / 2014;Festa do Jubileu de Nossa Senhora da Conceição;Não informado;MUNICIPAL;RI*CEL;2016,0
Peçanha;Inscrição nº 001 /2015;Modo de Fazer das Panelas de barro;Não informado;MUNICIPAL;RI*SAB;2019,0
Ponte Nova;Inscrição nº 001/ 2014;Goiabada Cascão da Região de Ponte Nova;Não informado;MUNICIPAL;RI*SAB;2016,0
Sabará;Inscrição nº 001/ 2014;Renda Turca de Bico;Não informado;MUNICIPAL;RI*SAB;2016,0
Santa Cruz do Escalvado;Inscrição nº 001/ 2014;Cavalgada de Santa Cruz do Escalvado;Não informado;MUNICIPAL;RI*CEL;2016,0
Candeias;Inscrição nº 001/ 2014;Encontro de Bandas de Candeias;Não informado;MUNICIPAL;RI*FOR;2017,0
Itacambira;Inscrição nº 001/ 2014;Folia de Reis;Não informado;MUNICIPAL;RI*CEL;2017,0
Luisburgo;Inscrição nº 001/ 2014;Folia de Reis - Baltazar;Não informado;MUNICIPAL;RI*CEL;2017,0
Peçanha;Inscrição nº 001/ 2014;Marujos dos Vieira;Não informado;MUNICIPAL;RI*FOR;2018,0
Santana do Manhuaçu;Inscrição nº 001/ 2014;Cavalgada do Santana do Manhuaçu;Não informado;MUNICIPAL;RI*CEL;2024,0
Cipotânea;Inscrição nº 001/ 2015;Festa do Milho;Não informado;MUNICIPAL;RI*CEL;2018,0
Mariana;Inscrição nº 001/ 2015;Grupo Zé Pereira da Chácara;Não informado;MUNICIPAL;RI*FOR;2018,0
Mariana;Inscrição nº 001/ 2015;Modo de Fazer das Panelas de Pedra Sabão de Cachoeira do Brumado;Não informado;MUNICIPAL;RI*SAB;2018,0
Guaraciaba;Inscrição nº 001/2011;Boi Laranjo de Guaraciaba;O folguedo,parte do CRAS (Centro de Referência de Assistência Social), caminha pela Praça Cônego Dimas atravessa a ponte sobre o rio Piranga, passa atrás do Jardim da Praça Tiradentes, caminha pela Rua Marecham Floriano até chegar à Praça de Santana.;MUNICIPAL;RI*FOR;2013,0
Rio Doce;Inscrição nº 001/2011;Congado de Nossa Senhora do Rosário de Santana do Deserto;Não informado;MUNICIPAL;RI*FOR;2014,0
Guaranésia;Inscrição nº 001/2012;Corporação Musical Santa Bárbara;Rua Tiradentes nº 36 - Centro;MUNICIPAL;RI*FOR;2025,0
Coronel Fabriciano;Inscrição nº 001/2013;Festa de Corpus Christi;Não informado;MUNICIPAL;RI*CEL;2016,0
Goianá;Inscrição nº 001/2013;Festa de Santo Antônio;Não informado;MUNICIPAL;RI*CEL;2016,0
Antônio Carlos;Inscrição nº 001/2013;Festa de Sant'Ana;Não informado;MUNICIPAL;RI*CEL;2025,0
Campos Altos;Inscrição nº 001/2014;Corporação musical Lira de Santo Antônio;Não informado;MUNICIPAL;RI*FOR;2016,0
Douradoquara;Inscrição nº 001/2014;"Folia de Reis e Companhia de Folia ""O Quarto Mago""";Não informado;MUNICIPAL;RI;2016,0
Goiabeira;Inscrição nº 001/2014;Festa do Carreiro;Não informado;MUNICIPAL;RI*CEL;2016,0
Conselheiro Lafaiete;Inscrição nº 001/2014;Modo de fazer das violas de Queluz;Não informado;MUNICIPAL;RI*SAB;2018,0
Coronel Fabriciano;Inscrição nº 001/2014;Corporação Musical Nossa Senhora Auxiliadora;Não informado;MUNICIPAL;RI*FOR;2018,0
Itanhomi;Inscrição nº 001/2014;Feira da Paz de Itanhomi;Área central;MUNICIPAL;RI*CEL;2016,0
Iturama;Inscrição nº 001/2014;Feira Cultural: Iturama e região mostram seus talentos;Não informado;MUNICIPAL;RI*LUG;2017,0
Liberdade;Inscrição nº 001/2014;Celebrações do Jubileu do Senhor Bom Jesus do Livramento;Não informado;MUNICIPAL;RI*CEL;2018,0
Elói Mendes;Inscrição nº 001/2015;Folias de Reis de Elói Mendes;Não informado;MUNICIPAL;RI*FOR;2017,0
Itinga;Inscrição nº 001/2016;Arte e Obra do Mestre Ulisses Mendes;Não informado;MUNICIPAL;RI*SAB;2019,0
Itutinga;Inscrição nº 001/2017;Banda de Música José Pontes de Oliveira Júnior;Não informado;MUNICIPAL;RI*FOR;2019,0
São Sebastião do Rio Verde;Inscrição nº 001/2017;Arraiá da Estação;Não informado;MUNICIPAL;RI*CEL;2020,0
Bonfim;Inscrição nº 001/2017;Corporação musical Padre Trigueiro;Não informado;MUNICIPAL;RI;2020,0
Guimarânia;Inscrição nº 001/2018;Eleição da Rainha de Guimarânia;Não informado;MUNICIPAL;RI;2020,0
Perdigão;Inscrição nº 001/2019;Festa de Reinado;Não informado;MUNICIPAL;RI*CEL;2021,0
Santana do Deserto;Inscrição nº 001/2019;Missa da Lavoura;Não informado;MUNICIPAL;RI*CEL;2021,0
São Gotardo;Inscrição nº 001/2020;Folia de Reis de São Gotardo;Não informado;MUNICIPAL;RI*FOR;2022,0
São José do Alegre;Inscrição nº 001/2020;Modo de Fazer do Cartucho de Doces;Não informado;MUNICIPAL;RI*SAB;2022,0
Catuti;Inscrição nº 001/2020;Queijo Artesanal da Serra Geral de Catuti;Não informado;MUNICIPAL;RI*SAB;2022,0
Cruzília;Inscrição nº 001/2021;Corporação Musical João Carlos Filho;Não informado;MUNICIPAL;RI*FOR;2023,0
Santo Antônio do Amparo;Inscrição nº 001/2021;Cavalhada de São Sebastião da Estrela;Não informado;MUNICIPAL;RI*FOR;2024,0
Divisa Nova;Inscrição nº 001/2021;Festa de São Sebastião;Não informado;MUNICIPAL;RI*CEL;2023,0
Piau;Inscrição nº 001/2021;Festa da Banana;Não informado;MUNICIPAL;RI;2023,0
Tiros;Inscrição nº 001/2021;Curva dos Milagres;Não informado;MUNICIPAL;RI*LUG;2023,0
Passa Quatro;Inscrição nº 001/2021;Passa Quatro Canta;Não informado;MUNICIPAL;RI*CEL;2023,0
São João do Pacuí;Inscrição nº 001/2021;Festa de Santa da Pedra;Não informado;MUNICIPAL;RI*CEL;2023,0
Juruaia;Inscrição nº 001/2021;Felinju. Feira de Lingerie de Juruaia;Não informado;MUNICIPAL;RI*LUG;2025,0
Silvianópolis;Inscrição nº 001/2021;Festa de Nossa Senhora do Rosário;Não informado;MUNICIPAL;RI*CEL;2023,0
Pocrane;Inscrição nº 001/2022;Festa Virakopos;Não informado;MUNICIPAL;RI*CEL;2024,0
Monte Carmelo;Inscrição nº 001/2022;Festa de Nossa Senhora do Rosário e São Benedito;Não informado;MUNICIPAL;RI*CEL;2025,0
Rio Doce;Inscrição nº 001/2023;Festa de Santo Antônio;Não informado;MUNICIPAL;RI*CEL;2025,0
Santos Dumont;Inscrição nº 001/2023;Feira com Choro;Não informado;MUNICIPAL;RI*FOR;2025,0
São João del Rei;Inscrição nº 001/2023;Manifestações Carnavalescas de São João del Rei;Não informado;MUNICIPAL;RI*CEL;2025,0
Caputira;Inscrição nº 001/2023;Alvorada Festiva de Caputira;Praça Joaquim de Castro;MUNICIPAL;RI*CEL;2025,0
Aiuruoca;Inscrição nº 001/2023;Semana Santa;Não informado;MUNICIPAL;RI*CEL;2025,0
Peçanha;Inscrição nº 002 / 2015;Modo de Fazer da Rapadura;Não informado;MUNICIPAL;RI*SAB;2019,0
Rio Pomba;Inscrição nº 002/ 2012;Torneio de férias;Não informado;MUNICIPAL;RI*CEL;2016,0
Peçanha;Inscrição nº 002/ 2014;Caboclos;Não informado;MUNICIPAL;RI*FOR;2018,0
Piedade do Rio Grande;Inscrição nº 002/2013;Congada e Moçambique de Nossa Senhora do Rosário;Não informado;MUNICIPAL;RI*FOR;2016,0
Coronel Fabriciano;Inscrição nº 002/2014;Rota dos Sabores;Não informado;MUNICIPAL;RI*FOR;2017,0
Mariana;Inscrição nº 002/2015;Sociedade Musical São Caetano;Não informado;MUNICIPAL;RI*FOR;2019,0
Tiradentes;Inscrição nº 002/2016;Festa de Nosso Senhor dos Passos;Distritoito Sede;MUNICIPAL;RI*CEL;2019,0
Nova Lima;Inscrição nº 002/2016;Modo de Fazer a Lamparina;Não informado;MUNICIPAL;RI*SAB;2019,0
Tiradentes;Inscrição nº 002/2017;Oficina de Teatro Entre & Vista;Distritoito Sede;MUNICIPAL;RI*FOR;2019,0
Olaria;Inscrição nº 002/2017;Corporação Musical Olariense “Nova Aurora”;Não informado;MUNICIPAL;RI*FOR;2019,0
Fervedouro;inscrição nº 002/2018;Exposição Agropecuária e Festa do Café;Não informado;MUNICIPAL;RI;2020,0
Leopoldina;Inscrição nº 002/2018;Clube dos Cutubas;Não informado;MUNICIPAL;RI*LUG;2021,0
Elói Mendes;Inscrição nº 002/2019;As Pastorinhas de Elói Mendes;Não informado;MUNICIPAL;RI*FOR;2021,0
Elói Mendes;Inscrição nº 002/2019;Soar dos Sinos da Igreja Matriz do Divino Espírito Santo;Não informado;MUNICIPAL;RI*FOR;2022,0
São Gotardo;Inscrição nº 002/2020;Congadas de São Gotardo;Não informado;MUNICIPAL;RI*FOR;2022,0
Simão Pereira;Inscrição nº 002/2020;Baile das Mães;Não informado;MUNICIPAL;RI*CEL;2022,0
Catuti;Inscrição nº 002/2020;Requeijão Moreno de Catuti;Não informado;MUNICIPAL;RI*SAB;2022,0
Ervália;Inscrição nº 002/2021;Celebração da Semana Santa;Sede do município;MUNICIPAL;RI*CEL;2023,0
João Pinheiro;Inscrição nº 002/2021;Capoeira;Não informado;MUNICIPAL;RI*FOR;2023,0
Santana do Deserto;Inscrição nº 002/2021;Festa de Sant’Ana;Não informado;MUNICIPAL;RI*CEL;2023,0
Silvianópolis;Inscrição nº 002/2021;Modo de Fazer do Creminho de Santana;Não informado;MUNICIPAL;RI*SAB;2023,0
Conselheiro Lafaiete;Inscrição nº 002/2022;Modo Artesanal de Fazer a Cerâmica Saramenha;Não informado;MUNICIPAL;RI*SAB;2024,0
Lamim;Inscrição nº 002/2022;Folias de Reis;Não informado;MUNICIPAL;RI*FOR;2024,0
Pompéu;Inscrição nº 002/2022;Registro do Patrimônio Imaterial das Quitandeiras de Pompéu;Não informado;MUNICIPAL;RI*SAB;2024,0
Conselheiro Lafaiete;Inscrição nº 002/2022;Festival de Artes Cênicas;Não informado;MUNICIPAL;RI*CEL;2025,0
São Brás do Suaçuí;Inscrição nº 002/2022;Folia de São Brás e São Sebastião;Não informado;MUNICIPAL;RI*FOR;2025,0
Jaíba;Inscrição nº 002/2022;Modo de Fazer do Requeijão Moreno da Serra Geral;Não informado;MUNICIPAL;RI*SAB;2024,0
Tiros;Inscrição nº 002/2022;Tirense Futebol Clube;Não informado;MUNICIPAL;RI*FOR;2025,0
Pequi;Inscrição nº 002/2022;Folia de Reis;Não informado;MUNICIPAL;RI*CEL;2024,0
Rio Doce;Inscrição nº 002/2023;Festa de Sant'Ana;Não informado;MUNICIPAL;RI*CEL;2025,0
São João del Rei;Inscrição nº 002/2023;Manifestações da Capoeira em São João del Rei;Não informado;MUNICIPAL;RI*SAB;2025,0
Sabará;Inscrição nº 003/ 2014;Registro do modo de fazer da Palma Barroca de Sabará;Não informado;MUNICIPAL;RI*SAB;2016,0
Sabará;Inscrição nº 003/ 2014;Registro do modo de fazer dos Pratos e derivados a base de Ora-pro-nobis;Não informado;MUNICIPAL;RI*SAB;2016,0
Peçanha;Inscrição nº 003/ 2014;Banda Lira Paroquial Treze de Junho;Não informado;MUNICIPAL;RI*FOR;2019,0
Carangola;Inscrição nº 003/2016;Exposição agropecuária;Não informado;MUNICIPAL;RI*CEL;2018,0
Mariana;Inscrição nº 003/2016;Folhinha Mariana;Não informado;MUNICIPAL;RI*FOR;2018,0
São Gotardo;Inscrição nº 003/2020;Modo de Tocar Viola;Não informado;MUNICIPAL;RI*FOR;2022,0
Pouso Alto;Inscrição nº 003/2021;Queijo Mantiqueira de Minas;Não informado;MUNICIPAL;RI*SAB;2023,0
Conselheiro Lafaiete;Inscrição nº 003/2021;Festival de Congado;Não informado;MUNICIPAL;RI*CEL;2025,0
Martinho Campos;Inscrição nº 003/2021;Modo de Fazer a Paçoca de Carne;Não informado;MUNICIPAL;RI*SAB;2023,0
Conselheiro Lafaiete;Inscrição nº 003/2022;Festival de Bandas;Não informado;MUNICIPAL;RI*CEL;2025,0
Lamim;Inscrição nº 003/2022;Cultivo do Feijão do Divino;Não informado;MUNICIPAL;RI*SAB;2024,0
Tiros;Inscrição nº 003/2022;Festa do Tirense Ausente;Não informado;MUNICIPAL;RI*CEL;2024,0
Arapuá;Inscrição nº 003/2023;Modo de fazer o requeijão da Vovó Betinha;Não informado;MUNICIPAL;RI*SAB;2025,0
Boa Esperança;Inscrição nº 003/2023;Coral Nossa Senhora das Dores;Não informado;MUNICIPAL;RI*FOR;2025,0
Chapada Gaúcha;Inscrição nº 004/2021;Folia de Reis Comunidade Marimbas;Não informado;MUNICIPAL;RI*CEL;2023,0
Martinho Campos;Inscrição nº 004/2021;Modo de Fazer Doce de Leite da Festa de Santa Rosa de Lima de Buriti Grande;distrito de Buriti Grande;MUNICIPAL;RI*SAB;2024,0
