municipio;homologacao;nome_bem_imaterial_registrado;local_ocorrencia_bem_imaterial_registrado;esfera_de_protecao;categoria;exercicio_aceito_para_efeito_de_pontuacao
Salto da Divisa;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Santa Bárbara;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santa Bárbara;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
Santa Bárbara;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Santa Bárbara;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Santa Bárbara;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Santa Bárbara do Monte Verde;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santa Bárbara do Monte Verde;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
Santa Bárbara do Tugúrio;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Santa Cruz de Minas;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santa Cruz de Minas;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
Santa Cruz de Minas;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Santa Cruz de Salinas;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santa Efigênia de Minas;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Santa Fé de Minas;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santa Fé de Minas;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Santa Fé de Minas;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Santa Fé de Minas;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Santa Helena de Minas;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santa Helena de Minas;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Santa Helena de Minas;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Santa Juliana;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santa Juliana;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
Santa Juliana;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Santa Juliana;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Santa Juliana;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Santa Luzia;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santa Luzia;;Manzo Ngzunzo Kaiango;Não informado;ESTADUAL;RI *11;
Santa Luzia;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Santa Luzia;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Santa Luzia;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Santa Margarida;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santa Maria de Itabira;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Santa Maria do Suaçuí;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santa Maria do Suaçuí;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Santa Rita de Ibitipoca;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santa Rita de Ibitipoca;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
Santa Rita de Jacutinga;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santa Rita de Jacutinga;;Matrizes Tradicionais do Forró;Não informado;FEDERAL;RI *12;
Santa Rita de Jacutinga;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
Santa Rita de Jacutinga;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Santa Rita de Jacutinga;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Santa Rita de Minas;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santa Rita de Minas;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Santa Rita do Itueto;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Santa Rita do Itueto;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Santa Rita do Sapucaí;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Santa Rosa da Serra;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
Santa Vitória;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santa Vitória;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Santa Vitória;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Santana de Cataguases;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santana de Cataguases;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Santana de Pirapama;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santana de Pirapama;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Santana do Garambéu;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santana do Garambéu;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
Santana do Garambéu;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Santana do Jacaré;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santana do Jacaré;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Santana do Jacaré;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Santana do Manhuaçu;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santana do Manhuaçu;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Santana do Paraíso;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Santana do Riacho;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Santana do Riacho;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Santana dos Montes;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santana dos Montes;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Santo Antônio do Amparo;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santo Antônio do Amparo;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Santo Antônio do Aventureiro;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santo Antônio do Grama;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Santo Antônio do Itambé;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santo Antônio do Itambé;;Modo de Fazer o Queijo Artesanal da Região do Serro;Não informado;ESTADUAL;RI *5;
Santo Antônio do Itambé;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
Santo Antônio do Monte;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Santo Antônio do Retiro;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santo Antônio do Retiro;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Santo Antônio do Retiro;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Santo Antônio do Rio Abaixo;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santo Antônio do Rio Abaixo;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Santo Hipólito;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santos Dumont;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Santos Dumont;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
São Bento Abade;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São Bento Abade;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
São Bento Abade;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São Brás do Suaçuí;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São Domingos das Dores;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São Domingos do Prata;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
São Domingos do Prata;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São Félix de Minas;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São Francisco;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São Francisco;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
São Francisco;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
São Francisco;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São Francisco de Paula;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São Francisco de Paula;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São Francisco de Sales;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São Francisco de Sales;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
São Francisco de Sales;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São Francisco do Glória;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São Geraldo;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São Geraldo;;Violas de Minas;Não informado;ESTADUAL;RI *9;
